[28, 117]
(99, 7)
(17, 19) | (3, 27)
(21, 7, 1, 1)
(22, 7, 1, 1)
(23, 7, 1, 1)
(24, 7, 1, 1)
(25, 7, 1, 1)
(26, 7, 1, 1)
(27, 7, 1, 1)
(28, 7, 1, 1)
(29, 7, 1, 1)
(30, 7, 1, 1)
(31, 7, 1, 1)
(32, 7, 1, 1)
(33, 7, 1, 1)
(34, 7, 1, 1)
(35, 7, 1, 1)
(36, 7, 1, 1)
(37, 7, 1, 1)
(38, 7, 1, 1)
(39, 7, 1, 1)
(40, 7, 1, 1)
(41, 7, 1, 1)
(42, 7, 1, 1)
(43, 7, 1, 1)
(44, 7, 1, 1)
(45, 7, 1, 1)
(46, 7, 1, 1)
(47, 7, 1, 1)
(48, 7, 1, 1)
(49, 7, 1, 1)
(50, 7, 1, 1)
(51, 7, 1, 1)
(53, 7, 1, 1)
(54, 7, 1, 1)
(55, 7, 1, 1)
(58, 7, 1, 1)
(60, 7, 1, 1)
(61, 7, 1, 1)
(62, 7, 1, 1)
(63, 7, 1, 1)
(64, 7, 1, 1)
(65, 7, 1, 1)
(66, 7, 1, 1)
(67, 7, 1, 1)
(68, 7, 1, 1)
(69, 7, 1, 1)
(70, 7, 1, 1)
(71, 7, 1, 1)
(72, 7, 1, 1)
(73, 7, 1, 1)
(74, 7, 1, 1)
(75, 7, 1, 1)
(76, 7, 1, 1)
(77, 7, 1, 1)
(78, 7, 1, 1)
(79, 7, 1, 1)
(81, 7, 1, 1)
(82, 7, 1, 1)
(83, 7, 1, 1)
(84, 7, 1, 1)
(85, 7, 1, 1)
(86, 7, 1, 1)
(88, 7, 1, 1)
(92, 7, 1, 1)
(97, 7, 1, 1)
(106, 7, 1, 1)
(109, 7, 1, 1)
(111, 7, 1, 1)
(113, 7, 1, 1)
(7, 8, 1, 1)
(58, 8, 1, 1)
(88, 8, 1, 1)
(92, 8, 1, 1)
(97, 8, 1, 1)
(99, 8, 1, 1)
(100, 8, 1, 1)
(102, 8, 1, 1)
(103, 8, 1, 1)
(104, 8, 1, 1)
(106, 8, 1, 1)
(107, 8, 1, 1)
(109, 8, 1, 1)
(111, 8, 1, 1)
(113, 8, 1, 1)
(4, 9, 1, 1)
(5, 9, 1, 1)
(7, 9, 1, 1)
(45, 9, 1, 1)
(58, 9, 1, 1)
(73, 9, 1, 1)
(88, 9, 1, 1)
(92, 9, 1, 1)
(97, 9, 1, 1)
(101, 9, 1, 1)
(106, 9, 1, 1)
(109, 9, 1, 1)
(111, 9, 1, 1)
(113, 9, 1, 1)
(7, 10, 1, 1)
(58, 10, 1, 1)
(88, 10, 1, 1)
(97, 10, 1, 1)
(101, 10, 1, 1)
(103, 10, 1, 1)
(106, 10, 1, 1)
(109, 10, 1, 1)
(111, 10, 1, 1)
(58, 11, 1, 1)
(97, 11, 1, 1)
(101, 11, 1, 1)
(103, 11, 1, 1)
(106, 11, 1, 1)
(109, 11, 1, 1)
(111, 11, 1, 1)
(113, 11, 1, 1)
(1, 12, 1, 1)
(2, 12, 1, 1)
(3, 12, 1, 1)
(4, 12, 1, 1)
(5, 12, 1, 1)
(6, 12, 1, 1)
(7, 12, 1, 1)
(8, 12, 1, 1)
(9, 12, 1, 1)
(10, 12, 1, 1)
(11, 12, 1, 1)
(12, 12, 1, 1)
(13, 12, 1, 1)
(14, 12, 1, 1)
(15, 12, 1, 1)
(16, 12, 1, 1)
(17, 12, 1, 1)
(18, 12, 1, 1)
(19, 12, 1, 1)
(20, 12, 1, 1)
(21, 12, 1, 1)
(22, 12, 1, 1)
(24, 12, 1, 1)
(25, 12, 1, 1)
(26, 12, 1, 1)
(27, 12, 1, 1)
(28, 12, 1, 1)
(29, 12, 1, 1)
(30, 12, 1, 1)
(31, 12, 1, 1)
(32, 12, 1, 1)
(33, 12, 1, 1)
(34, 12, 1, 1)
(35, 12, 1, 1)
(36, 12, 1, 1)
(37, 12, 1, 1)
(38, 12, 1, 1)
(39, 12, 1, 1)
(40, 12, 1, 1)
(41, 12, 1, 1)
(42, 12, 1, 1)
(43, 12, 1, 1)
(44, 12, 1, 1)
(45, 12, 1, 1)
(46, 12, 1, 1)
(47, 12, 1, 1)
(48, 12, 1, 1)
(49, 12, 1, 1)
(50, 12, 1, 1)
(51, 12, 1, 1)
(52, 12, 1, 1)
(53, 12, 1, 1)
(54, 12, 1, 1)
(55, 12, 1, 1)
(56, 12, 1, 1)
(57, 12, 1, 1)
(58, 12, 1, 1)
(59, 12, 1, 1)
(60, 12, 1, 1)
(62, 12, 1, 1)
(63, 12, 1, 1)
(64, 12, 1, 1)
(65, 12, 1, 1)
(66, 12, 1, 1)
(67, 12, 1, 1)
(68, 12, 1, 1)
(69, 12, 1, 1)
(70, 12, 1, 1)
(71, 12, 1, 1)
(72, 12, 1, 1)
(73, 12, 1, 1)
(74, 12, 1, 1)
(75, 12, 1, 1)
(76, 12, 1, 1)
(77, 12, 1, 1)
(78, 12, 1, 1)
(79, 12, 1, 1)
(80, 12, 1, 1)
(81, 12, 1, 1)
(82, 12, 1, 1)
(83, 12, 1, 1)
(84, 12, 1, 1)
(85, 12, 1, 1)
(86, 12, 1, 1)
(87, 12, 1, 1)
(88, 12, 1, 1)
(89, 12, 1, 1)
(90, 12, 1, 1)
(91, 12, 1, 1)
(92, 12, 1, 1)
(93, 12, 1, 1)
(94, 12, 1, 1)
(95, 12, 1, 1)
(97, 12, 1, 1)
(101, 12, 1, 1)
(103, 12, 1, 1)
(106, 12, 1, 1)
(109, 12, 1, 1)
(111, 12, 1, 1)
(113, 12, 1, 1)
(31, 13, 1, 1)
(58, 13, 1, 1)
(88, 13, 1, 1)
(97, 13, 1, 1)
(101, 13, 1, 1)
(103, 13, 1, 1)
(106, 13, 1, 1)
(109, 13, 1, 1)
(111, 13, 1, 1)
(113, 13, 1, 1)
(6, 14, 1, 1)
(31, 14, 1, 1)
(47, 14, 1, 1)
(58, 14, 1, 1)
(88, 14, 1, 1)
(92, 14, 1, 1)
(97, 14, 1, 1)
(101, 14, 1, 1)
(103, 14, 1, 1)
(106, 14, 1, 1)
(109, 14, 1, 1)
(111, 14, 1, 1)
(113, 14, 1, 1)
(6, 15, 1, 1)
(47, 15, 1, 1)
(58, 15, 1, 1)
(60, 15, 1, 1)
(61, 15, 1, 1)
(62, 15, 1, 1)
(63, 15, 1, 1)
(64, 15, 1, 1)
(65, 15, 1, 1)
(66, 15, 1, 1)
(67, 15, 1, 1)
(68, 15, 1, 1)
(69, 15, 1, 1)
(70, 15, 1, 1)
(71, 15, 1, 1)
(72, 15, 1, 1)
(73, 15, 1, 1)
(74, 15, 1, 1)
(75, 15, 1, 1)
(76, 15, 1, 1)
(77, 15, 1, 1)
(78, 15, 1, 1)
(79, 15, 1, 1)
(80, 15, 1, 1)
(81, 15, 1, 1)
(83, 15, 1, 1)
(84, 15, 1, 1)
(85, 15, 1, 1)
(86, 15, 1, 1)
(88, 15, 1, 1)
(92, 15, 1, 1)
(97, 15, 1, 1)
(101, 15, 1, 1)
(103, 15, 1, 1)
(106, 15, 1, 1)
(109, 15, 1, 1)
(113, 15, 1, 1)
(31, 16, 1, 1)
(47, 16, 1, 1)
(58, 16, 1, 1)
(81, 16, 1, 1)
(83, 16, 1, 1)
(88, 16, 1, 1)
(101, 16, 1, 1)
(106, 16, 1, 1)
(109, 16, 1, 1)
(111, 16, 1, 1)
(113, 16, 1, 1)
(3, 17, 1, 1)
(4, 17, 1, 1)
(6, 17, 1, 1)
(7, 17, 1, 1)
(8, 17, 1, 1)
(9, 17, 1, 1)
(10, 17, 1, 1)
(11, 17, 1, 1)
(12, 17, 1, 1)
(13, 17, 1, 1)
(14, 17, 1, 1)
(15, 17, 1, 1)
(16, 17, 1, 1)
(17, 17, 1, 1)
(18, 17, 1, 1)
(19, 17, 1, 1)
(20, 17, 1, 1)
(21, 17, 1, 1)
(22, 17, 1, 1)
(23, 17, 1, 1)
(24, 17, 1, 1)
(25, 17, 1, 1)
(26, 17, 1, 1)
(27, 17, 1, 1)
(28, 17, 1, 1)
(29, 17, 1, 1)
(31, 17, 1, 1)
(33, 17, 1, 1)
(34, 17, 1, 1)
(35, 17, 1, 1)
(36, 17, 1, 1)
(37, 17, 1, 1)
(38, 17, 1, 1)
(39, 17, 1, 1)
(40, 17, 1, 1)
(41, 17, 1, 1)
(42, 17, 1, 1)
(43, 17, 1, 1)
(44, 17, 1, 1)
(45, 17, 1, 1)
(46, 17, 1, 1)
(47, 17, 1, 1)
(49, 17, 1, 1)
(50, 17, 1, 1)
(51, 17, 1, 1)
(52, 17, 1, 1)
(53, 17, 1, 1)
(54, 17, 1, 1)
(55, 17, 1, 1)
(58, 17, 1, 1)
(61, 17, 1, 1)
(62, 17, 1, 1)
(64, 17, 1, 1)
(65, 17, 1, 1)
(66, 17, 1, 1)
(67, 17, 1, 1)
(68, 17, 1, 1)
(69, 17, 1, 1)
(70, 17, 1, 1)
(71, 17, 1, 1)
(72, 17, 1, 1)
(73, 17, 1, 1)
(74, 17, 1, 1)
(75, 17, 1, 1)
(76, 17, 1, 1)
(77, 17, 1, 1)
(78, 17, 1, 1)
(79, 17, 1, 1)
(81, 17, 1, 1)
(83, 17, 1, 1)
(88, 17, 1, 1)
(92, 17, 1, 1)
(97, 17, 1, 1)
(101, 17, 1, 1)
(103, 17, 1, 1)
(106, 17, 1, 1)
(111, 17, 1, 1)
(31, 18, 1, 1)
(47, 18, 1, 1)
(58, 18, 1, 1)
(70, 18, 1, 1)
(88, 18, 1, 1)
(92, 18, 1, 1)
(97, 18, 1, 1)
(101, 18, 1, 1)
(103, 18, 1, 1)
(106, 18, 1, 1)
(109, 18, 1, 1)
(111, 18, 1, 1)
(113, 18, 1, 1)
(114, 18, 1, 1)
(6, 19, 1, 1)
(8, 19, 1, 1)
(9, 19, 1, 1)
(10, 19, 1, 1)
(11, 19, 1, 1)
(12, 19, 1, 1)
(13, 19, 1, 1)
(14, 19, 1, 1)
(15, 19, 1, 1)
(16, 19, 1, 1)
(18, 19, 1, 1)
(19, 19, 1, 1)
(20, 19, 1, 1)
(21, 19, 1, 1)
(22, 19, 1, 1)
(23, 19, 1, 1)
(24, 19, 1, 1)
(26, 19, 1, 1)
(27, 19, 1, 1)
(28, 19, 1, 1)
(31, 19, 1, 1)
(33, 19, 1, 1)
(34, 19, 1, 1)
(36, 19, 1, 1)
(37, 19, 1, 1)
(38, 19, 1, 1)
(39, 19, 1, 1)
(40, 19, 1, 1)
(41, 19, 1, 1)
(42, 19, 1, 1)
(43, 19, 1, 1)
(44, 19, 1, 1)
(45, 19, 1, 1)
(47, 19, 1, 1)
(48, 19, 1, 1)
(49, 19, 1, 1)
(50, 19, 1, 1)
(51, 19, 1, 1)
(52, 19, 1, 1)
(53, 19, 1, 1)
(58, 19, 1, 1)
(70, 19, 1, 1)
(81, 19, 1, 1)
(83, 19, 1, 1)
(84, 19, 1, 1)
(85, 19, 1, 1)
(90, 19, 1, 1)
(91, 19, 1, 1)
(92, 19, 1, 1)
(93, 19, 1, 1)
(97, 19, 1, 1)
(103, 19, 1, 1)
(106, 19, 1, 1)
(109, 19, 1, 1)
(111, 19, 1, 1)
(6, 20, 1, 1)
(31, 20, 1, 1)
(58, 20, 1, 1)
(81, 20, 1, 1)
(88, 20, 1, 1)
(97, 20, 1, 1)
(101, 20, 1, 1)
(103, 20, 1, 1)
(106, 20, 1, 1)
(109, 20, 1, 1)
(111, 20, 1, 1)
(113, 20, 1, 1)
(31, 21, 1, 1)
(58, 21, 1, 1)
(88, 21, 1, 1)
(97, 21, 1, 1)
(106, 21, 1, 1)
(109, 21, 1, 1)
(111, 21, 1, 1)
(2, 22, 1, 1)
(3, 22, 1, 1)
(5, 22, 1, 1)
(6, 22, 1, 1)
(7, 22, 1, 1)
(8, 22, 1, 1)
(9, 22, 1, 1)
(10, 22, 1, 1)
(11, 22, 1, 1)
(12, 22, 1, 1)
(13, 22, 1, 1)
(14, 22, 1, 1)
(15, 22, 1, 1)
(16, 22, 1, 1)
(17, 22, 1, 1)
(18, 22, 1, 1)
(19, 22, 1, 1)
(20, 22, 1, 1)
(21, 22, 1, 1)
(22, 22, 1, 1)
(23, 22, 1, 1)
(24, 22, 1, 1)
(25, 22, 1, 1)
(26, 22, 1, 1)
(27, 22, 1, 1)
(28, 22, 1, 1)
(29, 22, 1, 1)
(30, 22, 1, 1)
(31, 22, 1, 1)
(32, 22, 1, 1)
(33, 22, 1, 1)
(34, 22, 1, 1)
(35, 22, 1, 1)
(36, 22, 1, 1)
(37, 22, 1, 1)
(39, 22, 1, 1)
(40, 22, 1, 1)
(41, 22, 1, 1)
(42, 22, 1, 1)
(43, 22, 1, 1)
(44, 22, 1, 1)
(45, 22, 1, 1)
(46, 22, 1, 1)
(47, 22, 1, 1)
(48, 22, 1, 1)
(49, 22, 1, 1)
(50, 22, 1, 1)
(51, 22, 1, 1)
(52, 22, 1, 1)
(53, 22, 1, 1)
(54, 22, 1, 1)
(55, 22, 1, 1)
(56, 22, 1, 1)
(58, 22, 1, 1)
(59, 22, 1, 1)
(60, 22, 1, 1)
(61, 22, 1, 1)
(62, 22, 1, 1)
(64, 22, 1, 1)
(65, 22, 1, 1)
(66, 22, 1, 1)
(67, 22, 1, 1)
(68, 22, 1, 1)
(69, 22, 1, 1)
(70, 22, 1, 1)
(71, 22, 1, 1)
(72, 22, 1, 1)
(73, 22, 1, 1)
(74, 22, 1, 1)
(75, 22, 1, 1)
(76, 22, 1, 1)
(77, 22, 1, 1)
(78, 22, 1, 1)
(79, 22, 1, 1)
(80, 22, 1, 1)
(81, 22, 1, 1)
(82, 22, 1, 1)
(83, 22, 1, 1)
(84, 22, 1, 1)
(85, 22, 1, 1)
(86, 22, 1, 1)
(87, 22, 1, 1)
(88, 22, 1, 1)
(89, 22, 1, 1)
(90, 22, 1, 1)
(91, 22, 1, 1)
(92, 22, 1, 1)
(94, 22, 1, 1)
(97, 22, 1, 1)
(100, 22, 1, 1)
(101, 22, 1, 1)
(103, 22, 1, 1)
(104, 22, 1, 1)
(106, 22, 1, 1)
(109, 22, 1, 1)
(111, 22, 1, 1)
(113, 22, 1, 1)
(31, 23, 1, 1)
(58, 23, 1, 1)
(88, 23, 1, 1)
(97, 23, 1, 1)
(101, 23, 1, 1)
(106, 23, 1, 1)
(109, 23, 1, 1)
(111, 23, 1, 1)
(113, 23, 1, 1)
(31, 24, 1, 1)
(58, 24, 1, 1)
(88, 24, 1, 1)
(97, 24, 1, 1)
(106, 24, 1, 1)
(109, 24, 1, 1)
(111, 24, 1, 1)
(58, 25, 1, 1)
(97, 25, 1, 1)
(109, 25, 1, 1)
(0, 27, 1, 1)
(1, 27, 1, 1)
(2, 27, 1, 1)
(4, 27, 1, 1)
(5, 27, 1, 1)
(6, 27, 1, 1)
(7, 27, 1, 1)
(8, 27, 1, 1)
(9, 27, 1, 1)
(10, 27, 1, 1)
(11, 27, 1, 1)
(12, 27, 1, 1)
(13, 27, 1, 1)
(14, 27, 1, 1)
(15, 27, 1, 1)
(16, 27, 1, 1)
(17, 27, 1, 1)
(18, 27, 1, 1)
(19, 27, 1, 1)
(20, 27, 1, 1)
(21, 27, 1, 1)
(22, 27, 1, 1)
(23, 27, 1, 1)
(24, 27, 1, 1)
(25, 27, 1, 1)
(26, 27, 1, 1)
(27, 27, 1, 1)
(28, 27, 1, 1)
(29, 27, 1, 1)
(30, 27, 1, 1)
(31, 27, 1, 1)
(32, 27, 1, 1)
(33, 27, 1, 1)
(34, 27, 1, 1)
(35, 27, 1, 1)
(36, 27, 1, 1)
(37, 27, 1, 1)
(38, 27, 1, 1)
(39, 27, 1, 1)
(40, 27, 1, 1)
(41, 27, 1, 1)
(42, 27, 1, 1)
(43, 27, 1, 1)
(44, 27, 1, 1)
(45, 27, 1, 1)
(46, 27, 1, 1)
(47, 27, 1, 1)
(48, 27, 1, 1)
(49, 27, 1, 1)
(50, 27, 1, 1)
(51, 27, 1, 1)
(52, 27, 1, 1)
(53, 27, 1, 1)
(54, 27, 1, 1)
(55, 27, 1, 1)
(56, 27, 1, 1)
(57, 27, 1, 1)
(58, 27, 1, 1)
(59, 27, 1, 1)
(60, 27, 1, 1)
(61, 27, 1, 1)
(62, 27, 1, 1)
(63, 27, 1, 1)
(64, 27, 1, 1)
(65, 27, 1, 1)
(66, 27, 1, 1)
(67, 27, 1, 1)
(68, 27, 1, 1)
(69, 27, 1, 1)
(70, 27, 1, 1)
(71, 27, 1, 1)
(72, 27, 1, 1)
(73, 27, 1, 1)
(74, 27, 1, 1)
(75, 27, 1, 1)
(76, 27, 1, 1)
(77, 27, 1, 1)
(78, 27, 1, 1)
(79, 27, 1, 1)
(80, 27, 1, 1)
(81, 27, 1, 1)
(82, 27, 1, 1)
(83, 27, 1, 1)
(84, 27, 1, 1)
(85, 27, 1, 1)
(86, 27, 1, 1)
(87, 27, 1, 1)
(88, 27, 1, 1)
(89, 27, 1, 1)
(90, 27, 1, 1)
(91, 27, 1, 1)
(92, 27, 1, 1)
(93, 27, 1, 1)
(94, 27, 1, 1)
(95, 27, 1, 1)
(97, 27, 1, 1)
(98, 27, 1, 1)
(99, 27, 1, 1)
(100, 27, 1, 1)
(101, 27, 1, 1)
(102, 27, 1, 1)
(103, 27, 1, 1)
(104, 27, 1, 1)
(105, 27, 1, 1)
(106, 27, 1, 1)
(107, 27, 1, 1)
(108, 27, 1, 1)
(109, 27, 1, 1)
(110, 27, 1, 1)
(111, 27, 1, 1)
(112, 27, 1, 1)
(113, 27, 1, 1)
(114, 27, 1, 1)
(115, 27, 1, 1)
(116, 27, 1, 1)
